session,param,ratio,param_value,fixed_point_success,fixed_point_residual_rms,max_real_lambda,leading_lambda_imag,stability_margin,motor_loading_fraction,motor_loading_enrichment,motor_E_loading_fraction,motor_I_loading_fraction,contra_motor_loading_density,ipsi_motor_loading_density,bilateral_motor_loading_density,local_motor_block_max_real_lambda
baseline,w_EE,0.5,0.26955306741126195,True,5.2326826149717375e-14,-12.129375908516879,0.0,12.129375908516879,0.1490023088887825,1.0643022063484462,0.14900214036668885,0.14900676618573264,0.01087051703817095,0.010643022063473815,0.010756769550822384,-12.52258702518443
baseline,w_EE,0.6299605249474366,0.3396155836951807,True,1.334427235208866e-13,-12.084709276302446,0.0,12.084709276302446,0.14902066175560558,1.0644332982543254,0.1490204916546973,0.14902516154232492,0.010872704478217199,0.010644332982532608,0.010758518730374905,-12.479635591354524
baseline,w_EE,0.7937005259840998,0.4278888227698922,True,3.4107603928677357e-13,-12.02793412088409,0.0,12.02793412088409,0.1490440843971203,1.0646006028365735,0.1490439122699998,0.1490486387141787,0.010875500875574798,0.01064600602835509,0.010760753451964943,-12.425051900323696
baseline,w_EE,1.0,0.5391061348225239,True,8.738831279633037e-13,-11.955592287247969,0.0,11.955592287247969,0.14907408328520153,1.0648148806085822,0.14907390854463817,0.1490787079361025,0.010879090156107574,0.010648148806075177,0.010763619481091375,-12.35552083147285
baseline,w_EE,1.2599210498948732,0.6792311673903614,True,2.243217945255772e-12,-11.86312472342025,0.0,11.86312472342025,0.14911268130350194,1.0650905807392994,0.14911250317030122,0.1491173972569831,0.010883721224204754,0.010650905807382344,0.010767313515793549,-12.266676332340461
baseline,w_EE,1.5874010519681994,0.8557776455397843,True,5.761697085045101e-12,-11.744444711586658,0.0,11.744444711586658,0.14916264128015538,1.0654474377153955,0.1491624587059811,0.14916747674550293,0.010889737375845835,0.010654474377143303,0.010772105876494568,-12.152696849643434
baseline,w_EE,1.9999999999999998,1.0782122696450476,True,2.227752825466237e-15,-11.591291197293518,0.0,11.591291197293518,0.14922781959192818,1.0659129970852013,0.14922763114111817,0.14923281319520204,0.010897623743308962,0.010659129970841353,0.010778376857075157,-12.00569413085739
baseline,w_EE,2.5198420997897464,1.3584623347807228,True,2.1482582435772943e-15,-11.392206291782424,0.0,11.392206291782424,0.14931375218426185,1.066526801316156,0.14931355584541994,0.14931895802748213,0.010908087743402116,0.010665268013150897,0.010786677878276505,-11.814750166420069
baseline,w_EE,3.1748021039363983,1.7115552910795684,True,2.1381658594896178e-15,-11.130830315520036,0.0,11.130830315520036,0.14942868269509854,1.067347733536418,0.14942847556592764,0.1494341788080612,0.010922204112420326,0.01067347733535351,0.010797840723886917,-11.564317797916527
baseline,w_EE,4.0,2.1564245392900956,True,2.3134692684694744e-15,-10.782859739935857,0.0,10.782859739935857,0.14958549970767548,1.0684678550548248,0.1495852774363979,0.14959140299656265,0.010941697414444406,0.010684678550537563,0.010813187982490983,-11.231380349913794
